Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,Label
0.59027099609375,447.2521972908696,6.776548443801055,4,0,4,53248,ATTACK
1.6777498722076416,275.3688184711851,4.1722548253209855,7,0,7,53248,ATTACK
0.8894734382629395,519.4084276448366,7.869824661285403,7,0,7,53248,ATTACK
2.878654718399048,135.4799509323914,1.7369224478511718,5,0,5,251,ATTACK
3.1566367149353027,209.0832932650367,3.167928685833889,10,0,10,53248,ATTACK
2.990650415420532,58.18132373573756,1.00312627130582,3,3,3,65535,ATTACK
4.394353866577148,243.94940247154076,3.64103585778419,16,2,16,65535,ATTACK
3.062105655670166,56.82364345521537,0.9797179906071616,3,3,3,65535,ATTACK
1.3342218399047852,346.2692531198335,5.246503835148992,7,0,7,53248,ATTACK
3.08713173866272,56.362997996118274,0.9717758275192806,3,3,3,65535,ATTACK
3.170842409133911,106.59627833485482,1.576868022704953,5,1,5,65535,ATTACK
3.0828773975372314,56.44077839066859,0.9731168688046308,3,3,3,65535,ATTACK
4.356745004653931,242.38278780878093,3.6724664819512265,16,0,16,53248,ATTACK
4.568104982376099,219.34697294955996,3.2836373196041904,15,0,15,53248,ATTACK
4.556656837463379,174.250558758778,1.53621399409502,7,0,7,547,ATTACK
3.255040407180786,1002.1380972118995,8.909259601209408,29,0,29,615,ATTACK
3.0229687690734863,57.55931115799436,0.9924019165171442,3,3,3,65535,ATTACK
3.395639657974243,190.83296971109743,2.944953236282368,10,0,9,53248,ATTACK
4.715204000473023,1286.4766825340892,10.816074976795012,51,0,51,501,ATTACK
0.6707954406738281,393.5626034291564,5.963069748926611,4,0,4,53248,ATTACK
4.712841987609863,168.05146492969223,2.546234317116549,12,0,12,53248,ATTACK
0.9512052536010742,6686.254071791869,111.4375678631978,106,106,0,512,ATTACK
4.9826600551605225,5322.458226411279,88.70763710685465,442,442,0,512,ATTACK
3.0472958087921143,57.0998061619,0.9844794165844828,3,3,3,65535,ATTACK
1.8497631549835205,1246.6460875206178,10.27158528312738,19,0,19,501,ATTACK
4.910069704055786,268.83528739106526,4.073261930167655,20,0,20,53248,ATTACK
3.7084732055664062,203.3181738695721,2.9661802553916354,11,0,11,53248,ATTACK
3.415134191513061,50.94968169403323,0.8784427878281591,3,3,3,65535,ATTACK
0.0717940330505371,13371.584785106566,111.42987320922138,8,0,8,501,ATTACK
3.0421643257141118,57.19612136966191,0.9861400236148604,3,3,3,65535,ATTACK
4.801562547683716,371.1291860312516,5.623169485321993,27,0,27,53248,ATTACK
4.95354437828064,107012.66800480212,24.22507821392561,120,2,118,502,ATTACK
3.950645685195923,169.08628442767375,2.531231802809488,10,1,10,65535,ATTACK
4.2701287269592285,278.2117533131088,4.215329595653163,18,0,18,53248,ATTACK
2.7045037746429443,410.4264931730573,6.28581115670448,17,0,16,53248,ATTACK
4.224571228027344,370.68850670822775,5.44433949826899,23,1,23,65535,ATTACK
4.971540451049805,190897.37061268304,33.59119806914893,167,0,167,502,ATTACK
3.0438830852508545,216.8283017169852,3.2852772987422,10,0,10,53248,ATTACK
3.03471040725708,57.336607665727726,0.9885622011332366,3,3,3,65535,ATTACK
4.642338275909424,355.42433617179023,5.385217214724094,25,0,25,53248,ATTACK
4.570636510848999,253.35639735326507,3.7193944343743577,17,0,17,53248,ATTACK
0.0766589641571044,25045.994569730447,104.3583107072102,8,0,8,501,ATTACK
4.287594556808472,1075.6614084875143,8.862778300634332,38,0,38,547,ATTACK
3.403414726257324,132.22014834931892,2.0567578632116272,7,0,6,53248,ATTACK
4.307831287384033,410.87960087565256,6.499790296338007,28,0,28,252,ATTACK
4.179516553878784,300.03470110346376,4.545980319749451,19,0,19,53248,ATTACK
4.949791669845581,386564.5521318866,10.303463943885754,51,0,51,502,ATTACK
1.7862818241119385,337.0128900568577,5.038398688557674,9,1,9,65535,ATTACK
2.812983989715576,258.0889200415985,3.9104381824484618,11,0,11,53248,ATTACK
4.3357834815979,243.55459733677108,3.6902211717692586,16,0,16,53248,ATTACK
4.801054239273071,288.68659484460534,4.374039315827353,21,0,21,53248,ATTACK
4.551111459732056,284.32615009525244,4.174804367704635,19,0,19,53248,ATTACK
4.267821550369263,1283.090198447075,10.778332565479444,46,0,46,501,ATTACK
4.597584962844849,330.1733436723063,5.002626419277369,23,0,23,53248,ATTACK
2.3629934787750244,223.4453902402283,3.385536215761035,8,0,8,53248,ATTACK
3.071242570877075,56.65459369766084,0.976803339614842,3,3,3,65535,ATTACK
4.742764234542847,222.65496402053125,3.37356006091714,16,0,16,53248,ATTACK
4.166773080825806,253.43352746022663,3.839901931215555,16,0,16,53248,ATTACK
3.9574453830718994,316.87108187620873,4.801076998124374,19,0,19,53248,ATTACK
3.673671245574951,130.115072375016,1.9054508506801509,7,2,7,65535,ATTACK
3.0233142375946045,57.55273396206313,0.9922885165872952,3,3,3,65535,ATTACK
4.749969482421875,319.5810005975059,4.842136372689483,23,0,23,53248,ATTACK
2.711862802505493,292.050172769902,4.425002617725789,12,0,12,53248,ATTACK
4.060452938079834,8393.152320616784,139.88587201027974,568,568,0,512,ATTACK
4.137156963348389,303.10670131913025,4.59252577756258,19,0,19,53248,ATTACK
2.991011381149292,58.17430220982333,1.0030052105141951,3,3,3,65535,ATTACK
3.223120927810669,1873.960094976244,16.13343128125243,52,0,52,501,ATTACK
4.831968307495117,453.2314495115742,6.82951499264016,33,0,33,53248,ATTACK
2.6872425079345703,319.2864051035958,4.837672804599936,13,0,13,53248,ATTACK
1.553844928741455,247.12890771605043,3.861389183063288,6,0,4,53248,ATTACK
2.6708555221557617,321.2453810708081,4.867354258648609,13,0,13,53248,ATTACK
4.432601690292358,208.4554545073632,3.158415977384291,14,0,14,53248,ATTACK
2.5323646068573,8884.97649156565,148.08294152609415,375,375,0,512,ATTACK
4.626102447509766,1198.8493689726686,10.159740415022616,47,0,47,501,ATTACK
4.713033199310303,196.05208809800376,2.970486183303087,14,0,14,53248,ATTACK
2.422510862350464,356.65474752988143,3.302358773424828,8,0,8,547,ATTACK
4.618259906768799,328.69522951168864,4.980230750177101,23,0,23,53248,ATTACK
4.284258365631104,385.59765985463576,3.2677767784291167,14,0,14,501,ATTACK
3.6126770973205566,365.3800116758332,5.536060782967169,20,0,20,53248,ATTACK
0.7961351871490479,414.5024680817421,6.280340425480941,5,0,5,53248,ATTACK
4.689772605895996,211.0976550878755,3.198449319513265,15,0,15,53248,ATTACK
4.92893123626709,53214.37598278293,29.215258460180493,144,125,19,512,ATTACK
4.8218748569488525,396.9410357553588,6.014258117505436,29,0,29,53248,ATTACK
4.443793058395386,1121.5643785625964,9.901451175111204,44,0,44,501,ATTACK
2.1471338272094727,614.7730445454073,9.314743099172835,20,0,20,53248,ATTACK
4.5973100662231445,275.3784238529868,4.132851542817337,19,0,19,53248,ATTACK
4.353601455688477,181.91835152139652,2.7563386594151,12,0,12,53248,ATTACK
4.324230909347534,314.50679404287524,4.625099912395224,20,0,20,53248,ATTACK
3.039846420288086,57.23973383612914,0.9868919626918816,3,3,3,65535,ATTACK
3.776507377624512,174.76465262862837,2.6479492822519446,10,0,10,53248,ATTACK
0.5572540760040283,2763.550894132657,25.12318994666052,14,0,14,501,ATTACK
4.718048572540283,279.7766872690944,4.239040716198399,20,0,20,53248,ATTACK
3.574439525604248,276.96649863803293,4.196462100576256,15,0,15,53248,ATTACK
4.8318517208099365,204.8903934150636,3.1043999002282368,15,0,15,53248,ATTACK
2.9904065132141118,58.18606909499521,1.0032080878447451,3,3,3,65535,ATTACK
1.219895362854004,1047.6308369678998,15.575106339898356,19,0,19,53248,ATTACK
3.007319450378418,57.858835042650746,0.9975661214250128,3,3,3,65535,ATTACK
1.658881425857544,437.6442997574108,6.6309742387486486,11,0,11,53248,ATTACK
4.317262887954712,316.8674309402746,4.632564779828575,20,0,20,53248,ATTACK
4.589036703109741,258.87785974667776,3.922391814343602,18,0,18,53248,ATTACK
4.810874223709106,164.62704347929943,2.494349143625749,12,0,12,53248,ATTACK
3.623626947402954,346.06211351274425,5.2433653562537,19,0,19,53248,ATTACK
4.867051362991333,8160.998731599112,136.01664552665187,662,662,0,512,ATTACK
3.825736999511719,293.27682486882964,4.443588255588328,17,0,17,53248,ATTACK
0.4151403903961181,794.9118120863185,12.04411836494422,5,0,5,53248,ATTACK
4.491245269775391,325.9675016753684,4.898418741023296,22,0,22,53248,ATTACK
3.8023548126220703,329.7956297600888,4.996903481213466,19,0,19,53248,ATTACK
4.25475287437439,141.01876600488174,2.350312766748029,10,0,10,250,ATTACK
3.0736453533172607,56.61030470291859,0.9760397362572172,3,3,3,65535,ATTACK
4.840049743652344,344.21133836174624,5.165236169894151,25,2,25,65535,ATTACK
4.627944469451904,128.3507189684038,1.944707863157633,9,0,9,53248,ATTACK
3.0380501747131348,57.27357679878668,0.987475462048046,3,3,3,65535,ATTACK
2.394759178161621,196.261905700599,2.923049659370623,7,1,7,65535,ATTACK
4.395194053649902,227.0661972640845,3.412818596153575,15,1,15,65535,ATTACK
4.759559631347656,291.2034111037197,4.4121728955109045,21,0,21,53248,ATTACK
4.439824104309082,193.25089909919316,2.9280439257453508,13,0,13,53248,ATTACK
3.0898263454437256,56.3138443869447,0.9709283514990464,3,3,3,65535,ATTACK
4.436556339263916,238.02244787343432,3.606400725355065,16,0,16,53248,ATTACK
4.290306329727173,270.84313116492393,3.962421023927458,17,0,17,53248,ATTACK
0.2441105842590332,811.1078042806048,12.28951218606977,3,0,3,53248,ATTACK
4.107434511184692,708.958351513705,5.843063336651414,24,0,24,547,ATTACK
4.652487516403198,555.8316902264826,4.943591985773048,23,0,23,501,ATTACK
1.4237849712371826,370.8425153140928,5.6188259896074655,8,0,8,53248,ATTACK
4.687630891799927,168.9552821629889,2.559928517621044,12,0,12,53248,ATTACK
3.026628971099853,57.4897027886341,0.9912017722178292,3,3,3,65535,ATTACK
1.781635046005249,444.5354854103306,6.735386142580766,12,0,12,53248,ATTACK
2.080557584762573,173.0305388500372,2.883842314167287,6,0,6,253,ATTACK
4.823038578033447,164.2118318537131,2.4880580583895924,12,0,12,53248,ATTACK
3.0841195583343506,56.41804628805399,0.9727249360009308,3,3,3,65535,ATTACK
1.0317680835723877,335.34667868578725,4.8460502700258274,5,2,5,65535,ATTACK
4.347639799118042,379.5162608306966,5.750246376222675,25,0,25,53248,ATTACK
4.995337724685669,6498.0591481514975,108.30098580252496,541,541,0,512,ATTACK
3.629085063934326,305.8622160806113,4.684376282315669,17,0,16,53248,ATTACK
4.386743307113648,255.77060736162477,3.8753122327518894,17,0,17,53248,ATTACK
