Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label,Source_File
1.7438337802886963,7437.635482581822,22.364516871294608,39,12970,22.364516871294608,4,35,65535,17,NORMAL,normal_browsing.csv
0.2532238960266113,14189.024244467084,31.592595033603303,8,3593,31.592595033603303,1,8,65535,7,NORMAL,normal_browsing.csv
0.1479330062866211,30067.66448984328,67.59816656889227,10,4448,67.59816656889227,0,10,1053,10,NORMAL,normal_browsing.csv
0.2275524139404297,29654.70628567597,48.3405111355121,11,6748,48.3405111355121,1,11,65535,10,NORMAL,normal_browsing.csv
0.1402392387390136,96506.51359557704,71.30671907460992,10,13534,71.30671907460992,1,10,65535,9,NORMAL,normal_browsing.csv
0.1039004325866699,38296.27943734368,67.37219302875238,7,3979,67.37219302875238,0,7,1053,7,NORMAL,normal_browsing.csv
0.1835651397705078,1176.694007751374,21.790629773173595,4,216,21.790629773173595,0,4,255,0,NORMAL,normal_browsing.csv
0.19657564163208,6547.098049964949,45.78390244730733,9,1287,45.78390244730733,1,9,65535,8,NORMAL,normal_browsing.csv
1.5379209518432615,4389.692455849989,48.76713585968733,75,6751,48.76713585968733,1,74,65535,8,NORMAL,normal_browsing.csv
1.5297071933746338,599550.6878520562,68.64058720176583,105,917137,68.64058720176583,1,105,65535,104,NORMAL,normal_browsing.csv
0.2297492027282714,940.1556019999211,17.410288925924466,4,216,17.410288925924466,0,4,255,0,NORMAL,normal_browsing.csv
0.1978294849395752,1738.8712309748516,15.164574688734172,3,344,15.164574688734172,1,2,65535,2,NORMAL,normal_browsing.csv
0.5597014427185059,7711.254019708991,89.33334128485856,50,4316,89.33334128485856,0,50,4095,0,NORMAL,normal_browsing.csv
0.548896074295044,453280.7058595618,61.94250895976392,34,248804,61.94250895976392,0,34,233,34,NORMAL,normal_browsing.csv
0.6320037841796875,159296.5145464642,53.79714623723412,34,100676,53.79714623723412,0,34,78,34,NORMAL,normal_browsing.csv
0.5902645587921143,2487.020401502737,44.048045258222864,26,1468,44.048045258222864,0,26,511,0,NORMAL,normal_browsing.csv
2.7419302463531494,746.5543672099508,3.2823592109865936,9,2047,3.2823592109865936,1,8,255,2,NORMAL,normal_browsing.csv
0.498279333114624,9233.776506924856,16.055251479112986,8,4601,16.055251479112986,1,8,65535,7,NORMAL,normal_browsing.csv
0.0362863540649414,169843.46206207786,110.23427685353096,4,6163,110.23427685353096,1,4,29200,3,NORMAL,normal_browsing.csv
0.0419435501098632,44106.90070712353,119.20783974898252,5,1850,119.20783974898252,1,4,65535,3,NORMAL,normal_browsing.csv
2.038901329040528,970.1303205932056,1.9618408909872715,4,1978,1.9618408909872715,0,4,255,2,NORMAL,normal_browsing.csv
1.3406333923339844,1272.5328264649056,3.729580382370767,5,1706,3.729580382370767,0,5,164,5,NORMAL,normal_browsing.csv
0.603696346282959,115833.06811537997,54.663242875636925,33,69928,54.663242875636925,0,33,165,33,NORMAL,normal_browsing.csv
2.686300754547119,1335.665782741031,15.262624607687366,41,3588,15.262624607687366,0,41,255,9,NORMAL,normal_browsing.csv
0.3524303436279297,6795.669111081044,17.02464077932621,6,2395,17.02464077932621,0,6,282,6,NORMAL,normal_browsing.csv
2.3283531665802,1807.285965204564,8.5897621920369,20,4208,8.5897621920369,0,20,252,5,NORMAL,normal_browsing.csv
2.3545567989349365,63724.5192249644,20.386002164701395,48,150043,20.386002164701395,0,48,148,48,NORMAL,normal_browsing.csv
1.1205165386199951,13999.79336255026,3.569782205023334,4,15687,3.569782205023334,1,4,29200,3,NORMAL,normal_browsing.csv
1.3026392459869385,522.0171295275242,5.373705745136277,7,680,5.373705745136277,0,7,255,2,NORMAL,normal_browsing.csv
1.232271671295166,475.5444871860853,4.057546818993902,5,586,4.057546818993902,0,5,255,2,NORMAL,normal_browsing.csv
0.3695528507232666,2013.2438392611175,27.05972902232685,10,744,27.05972902232685,0,10,255,1,NORMAL,normal_browsing.csv
0.4153304100036621,57103.9332270201,36.11582402518453,15,23717,36.11582402518453,0,15,11,15,NORMAL,normal_browsing.csv
0.1328022480010986,63048.6315256556,37.64996508160492,5,8373,37.64996508160492,1,5,42340,4,NORMAL,normal_browsing.csv
0.8836686611175537,104965.81363731407,39.60760581430643,35,92755,39.60760581430643,1,35,65535,34,NORMAL,normal_browsing.csv
0.5380480289459229,1563.0574869823113,27.87855208648593,15,841,27.87855208648593,0,15,251,1,NORMAL,normal_browsing.csv
0.7881360054016113,3802.643172573768,3.806449622195964,3,2997,3.806449622195964,0,3,148,3,NORMAL,normal_browsing.csv
0.0198330879211425,39277.79693698459,201.68316784074244,4,779,201.68316784074244,0,4,253,4,NORMAL,normal_browsing.csv
0.5801277160644531,2799.383575425607,10.342550155513326,6,1624,10.342550155513326,1,5,65535,2,NORMAL,normal_browsing.csv
0.391303539276123,6084.790350745714,20.444486688771825,8,2381,20.444486688771825,1,8,42340,7,NORMAL,normal_browsing.csv
0.0413241386413574,48010.68008261888,120.99465746627742,5,1984,120.99465746627742,1,5,29200,4,NORMAL,normal_browsing.csv
0.056145429611206,33021.38772182376,53.43266621654331,3,1854,53.43266621654331,0,3,137,3,NORMAL,normal_browsing.csv
4.9151246547698975,1099.870375566921,17.903920282998342,88,5406,17.903920282998342,0,88,511,1,NORMAL,normal_browsing.csv
4.8983705043792725,98504.79859957931,34.50126931985025,169,482513,34.50126931985025,0,169,468,169,NORMAL,normal_browsing.csv
2.8721067905426025,2576.5058682243434,10.097117591689994,29,7400,10.097117591689994,5,24,65535,8,NORMAL,normal_browsing.csv
4.062169551849365,49431.466962914725,21.909474448076985,89,200799,21.909474448076985,0,89,165,89,NORMAL,normal_browsing.csv
2.7600786685943604,563.7520472532156,1.8115425682943944,5,1556,1.8115425682943944,0,5,165,5,NORMAL,normal_browsing.csv
0.1751458644866943,9923.15750699346,22.838107035658133,4,1738,22.838107035658133,0,4,164,4,NORMAL,normal_browsing.csv
2.7828710079193115,720.4789565503764,1.796705627307672,5,2005,1.796705627307672,0,5,165,5,NORMAL,normal_browsing.csv
2.747053861618042,706.9391784171798,2.548184474212286,7,1942,2.548184474212286,0,7,165,7,NORMAL,normal_browsing.csv
2.7995765209198,2376.788042862222,17.859844025114384,50,6654,17.859844025114384,0,50,511,8,NORMAL,normal_browsing.csv
1.0515401363372805,3504.383591895574,16.166762839138332,17,3685,16.166762839138332,0,17,506,10,NORMAL,normal_browsing.csv
1.0824179649353027,8239.885412963466,7.39086033229148,8,8919,7.39086033229148,0,8,173,8,NORMAL,normal_browsing.csv
1.372178316116333,3815.8305946849646,14.575365143945625,20,5236,14.575365143945625,2,18,65535,6,NORMAL,normal_browsing.csv
0.959343671798706,80033.88384898873,18.76282768014844,18,76780,18.76282768014844,1,18,42340,17,NORMAL,normal_browsing.csv
1.1851224899291992,1383.823203032773,3.375178543982374,4,1640,3.375178543982374,1,3,65535,1,NORMAL,normal_browsing.csv
0.5931353569030762,55663.51696244458,25.28933712250632,15,33016,25.28933712250632,0,15,165,15,NORMAL,normal_browsing.csv
0.2249343395233154,3725.531645261028,26.674450920723352,6,838,26.674450920723352,1,6,42340,5,NORMAL,normal_browsing.csv
0.1995248794555664,303485.9620776514,130.3095637543794,26,60553,130.3095637543794,0,26,165,25,NORMAL,normal_browsing.csv
0.1977019309997558,4527.016987007099,60.697434462665,12,895,60.697434462665,0,12,511,1,NORMAL,normal_browsing.csv
0.9158947467803956,80218.8245519181,20.744741758580737,19,73472,20.744741758580737,0,19,468,19,NORMAL,normal_browsing.csv
0.7487871646881104,1364.873822891569,20.03239466083516,15,1022,20.03239466083516,0,15,511,1,NORMAL,normal_browsing.csv
2.414069890975952,8733.384264809598,28.16819854892817,68,21083,28.16819854892817,6,62,65535,29,NORMAL,normal_browsing.csv
0.1730947494506836,39336.83731949335,63.54901020919765,11,6809,63.54901020919765,1,11,65535,10,NORMAL,normal_browsing.csv
1.7514421939849854,1623.8046621048693,6.280538425862715,11,2844,6.280538425862715,1,10,65535,6,NORMAL,normal_browsing.csv
0.1181740760803222,12828.53270601907,67.69674251197398,8,1516,67.69674251197398,1,8,65535,7,NORMAL,normal_browsing.csv
1.7426669597625732,31178.648160864108,7.459830420937781,13,54334,7.459830420937781,1,13,32120,12,NORMAL,normal_browsing.csv
0.0892212390899658,15937.909117874196,78.45665529192642,7,1422,78.45665529192642,0,7,1053,7,NORMAL,normal_browsing.csv
0.3422412872314453,13189.524959176964,32.14106658195538,11,4514,32.14106658195538,1,11,65535,10,NORMAL,normal_browsing.csv
0.1096658706665039,58340.84899080814,91.18607219569888,10,6398,91.18607219569888,1,10,65535,9,NORMAL,normal_browsing.csv
0.1793913841247558,29115.110658646343,50.16963353012007,9,5223,50.16963353012007,1,9,65535,8,NORMAL,normal_browsing.csv
0.4009299278259277,3202.554638319432,22.44781288541658,9,1284,22.44781288541658,0,9,1263,9,NORMAL,normal_browsing.csv
0.1142168045043945,41710.1495762535,61.28695361750094,7,4764,61.28695361750094,0,7,255,5,NORMAL,normal_browsing.csv
0.3306834697723388,4735.64645090401,24.192319033992387,8,1566,24.192319033992387,1,8,65535,7,NORMAL,normal_browsing.csv
0.2215983867645263,81246.07883148224,54.15201877237208,12,18004,54.15201877237208,1,12,65535,11,NORMAL,normal_browsing.csv
0.1443071365356445,21925.45757581765,69.29664214860195,10,3164,69.29664214860195,1,9,65535,6,NORMAL,normal_browsing.csv
0.1066007614135742,101321.97797439592,93.80796035033414,10,10801,93.80796035033414,1,10,42340,9,NORMAL,normal_browsing.csv
0.129378080368042,50680.918911049645,54.10499197458403,7,6557,54.10499197458403,1,7,65535,6,NORMAL,normal_browsing.csv
0.0090203285217285,51882.811016545966,332.58212190093565,3,468,332.58212190093565,0,3,511,3,NORMAL,normal_browsing.csv
0.0923571586608886,185139.952851766,86.62024813229593,8,17099,86.62024813229593,0,8,1053,8,NORMAL,normal_browsing.csv
0.3100485801696777,24180.08170170358,35.4783111536267,11,7497,35.4783111536267,1,11,65535,10,NORMAL,normal_browsing.csv
0.3093750476837158,7263.029183585553,32.32322734127972,10,2247,32.32322734127972,0,10,255,4,NORMAL,normal_browsing.csv
1.082345962524414,2129.633296385126,10.163109006610146,11,2305,10.163109006610146,1,10,65535,5,NORMAL,normal_browsing.csv
0.1545016765594482,3546.887077235979,38.8345300427297,6,548,38.8345300427297,0,6,511,2,NORMAL,normal_browsing.csv
0.1296422481536865,122691.48542644813,61.70827885147648,8,15906,61.70827885147648,0,8,468,8,NORMAL,normal_browsing.csv
0.9890573024749756,3832.942732957494,10.110637649584527,10,3791,10.110637649584527,1,10,42340,9,NORMAL,normal_browsing.csv
0.063079833984375,41122.49250120948,79.26463473633285,5,2594,79.26463473633285,0,5,11,5,NORMAL,normal_browsing.csv
1.8613386154174805,1369.981785623708,5.909725349749328,11,2550,5.909725349749328,0,11,255,7,NORMAL,normal_browsing.csv
