Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label
4.011354923248291,263.2526964592,3.988677219078789,16,1056,3.988677219078789,0,16,53248,0,ATTACK
3.891022682189941,288.3560677082759,4.369031328913271,17,1122,4.369031328913271,0,17,53248,0,ATTACK
2.59641695022583,67.01543062444802,1.155438459042207,3,174,1.155438459042207,3,3,65535,0,ATTACK
3.674394607543945,377.20499511794026,5.715227198756671,21,1386,5.715227198756671,0,21,53248,0,ATTACK
4.26608157157898,1274.706052558499,10.548321508851137,45,5438,10.548321508851137,0,45,615,45,ATTACK
0.2187230587005615,905.2543484730066,13.715974976863736,3,198,13.715974976863736,0,3,53238,0,ATTACK
0.6031348705291748,328.28478284845306,4.974011861340198,3,198,4.974011861340198,0,3,53238,0,ATTACK
4.434396743774414,223.2547192332061,3.3826472611091827,15,990,3.3826472611091827,0,15,53248,0,ATTACK
4.2701287269592285,278.2117533131088,4.215329595653163,18,1188,4.215329595653163,0,18,53248,0,ATTACK
2.945636987686157,336.0902935896592,5.0922771756008975,15,990,5.0922771756008975,0,15,53248,0,ATTACK
3.097914934158325,56.16681016041978,0.9683932786279272,3,174,0.9683932786279272,3,3,65535,0,ATTACK
2.8719656467437744,229043.4778514211,32.730196514215585,94,657805,32.730196514215585,0,94,502,93,ATTACK
4.936938047409058,158398.9899185392,27.344884360225876,135,782006,27.344884360225876,0,135,502,135,ATTACK
4.631685018539429,299.24314681421623,4.533987072942669,21,1386,4.533987072942669,0,21,53248,0,ATTACK
4.709024906158447,238.26588781313347,3.610089209289901,17,1122,3.610089209289901,0,17,53248,0,ATTACK
3.9992482662200928,234.04398469231933,3.500657890697084,14,936,3.500657890697084,0,14,53248,0,ATTACK
4.031527042388916,351.2316760154825,2.9765396272498514,12,1416,2.9765396272498514,0,12,615,12,ATTACK
4.353083610534668,212.26332473005488,3.2161109807584074,14,924,3.2161109807584074,0,14,53248,0,ATTACK
4.63638973236084,207.0576580953582,3.45096096825597,16,960,3.45096096825597,0,16,252,16,ATTACK
