Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label,Source_File
3.096235752105713,2189.7557365872426,36.49592894312071,113,6780,36.49592894312071,113,0,512,113,ATTACK,syn_flood_basic.csv
4.986129522323608,1973.474607096532,32.89124345160886,164,9840,32.89124345160886,164,0,512,164,ATTACK,syn_flood_basic.csv
4.912945032119751,1892.958284531712,31.5493047421952,155,9300,31.5493047421952,155,0,512,155,ATTACK,syn_flood_basic.csv
4.925522804260254,2009.938922917411,33.49898204862352,165,9900,33.49898204862352,165,0,512,165,ATTACK,syn_flood_basic.csv
4.972902774810791,2075.246685351224,34.58744475585374,172,10320,34.58744475585374,172,0,512,172,ATTACK,syn_flood_basic.csv
4.993907690048218,2042.488694840396,34.04147824733993,170,10200,34.04147824733993,170,0,512,170,ATTACK,syn_flood_basic.csv
4.941715717315674,1942.6451356482912,32.377418927471524,160,9600,32.377418927471524,160,0,512,160,ATTACK,syn_flood_basic.csv
4.937307357788086,2175.2747442507853,36.254579070846425,179,10740,36.254579070846425,179,0,512,179,ATTACK,syn_flood_basic.csv
4.909672260284424,2321.9472493546,38.69912082257667,190,11400,38.69912082257667,190,0,512,190,ATTACK,syn_flood_basic.csv
4.955554485321045,1888.7896455836487,31.47982742639416,156,9360,31.47982742639416,156,0,512,156,ATTACK,syn_flood_basic.csv
4.924185514450073,2034.8542861750848,33.91423810291809,167,10020,33.91423810291809,167,0,512,167,ATTACK,syn_flood_basic.csv
4.975851774215698,1881.08497292915,31.35141621548584,156,9360,31.35141621548584,156,0,512,156,ATTACK,syn_flood_basic.csv
4.966662645339966,2065.7734846610883,34.4295580776848,171,10260,34.4295580776848,171,0,512,171,ATTACK,syn_flood_basic.csv
4.966769456863403,1969.086764533708,32.818112742228465,163,9780,32.818112742228465,163,0,512,163,ATTACK,syn_flood_basic.csv
4.93596339225769,1932.753394193315,32.212556569888584,159,9540,32.212556569888584,159,0,512,159,ATTACK,syn_flood_basic.csv
4.992981910705566,2066.901139351748,34.448352322529125,172,10320,34.448352322529125,172,0,512,172,ATTACK,syn_flood_basic.csv
4.988745212554932,1900.2774437431967,31.671290729053293,158,9480,31.671290729053293,158,0,512,158,ATTACK,syn_flood_basic.csv
4.920598030090332,1975.3696482745536,32.92282747124256,162,9720,32.92282747124256,162,0,512,162,ATTACK,syn_flood_basic.csv
4.96048378944397,1850.6259448998228,30.84376574833038,153,9180,30.84376574833038,153,0,512,153,ATTACK,syn_flood_basic.csv
4.982071399688721,2011.211641933925,33.520194032232084,167,10020,33.520194032232084,167,0,512,167,ATTACK,syn_flood_basic.csv
4.933633804321289,2055.280225929728,34.25467043216212,169,10140,34.25467043216212,169,0,512,169,ATTACK,syn_flood_basic.csv
4.981318712234497,2156.055578941726,35.93425964902876,179,10740,35.93425964902876,179,0,512,179,ATTACK,syn_flood_basic.csv
4.96835994720459,1823.5393764289445,30.392322940482405,151,9060,30.392322940482405,151,0,512,151,ATTACK,syn_flood_basic.csv
4.975629568099976,2351.4612251305184,39.19102041884197,195,11700,39.19102041884197,195,0,512,195,ATTACK,syn_flood_basic.csv
4.990095853805542,1935.834557693536,32.26390929489227,161,9660,32.26390929489227,161,0,512,161,ATTACK,syn_flood_basic.csv
4.86440110206604,1677.4932471202328,27.95822078533721,136,8160,27.95822078533721,136,0,512,136,ATTACK,syn_flood_basic.csv
4.966939449310303,1775.7413976980783,29.59568996163464,147,8820,29.59568996163464,147,0,512,147,ATTACK,syn_flood_basic.csv
4.946030139923096,1989.474330245993,33.157905504099894,164,9840,33.157905504099894,164,0,512,164,ATTACK,syn_flood_basic.csv
