Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,Label,Source_File
0.6113996505737305,3276.089539993043,42.5253759559756,26,0,26,255,NORMAL,normal_browsing.csv
4.773679971694946,152.08392776741292,2.304301935869893,11,0,11,53248,ATTACK,
4.469684362411499,14165.653515148784,4.922047781497145,22,0,22,16,NORMAL,normal_download.csv
0.0079395771026611,508339.4175550284,377.8538782619141,3,0,3,255,NORMAL,normal_gaming.csv
4.888691425323486,358081.0993576191,38.86520613999024,190,128,62,512,ATTACK,
1.458174228668213,12469.703306035652,10.972625688641612,16,0,16,614,NORMAL,normal_download.csv
4.965515375137329,4842.800431231158,18.125006812109792,90,13,77,65535,NORMAL,normal_streaming.csv
4.431041479110718,1027.9750305822367,15.346279271041077,68,0,68,511,NORMAL,normal_browsing.csv
2.9518463611602783,87.40292292807146,1.3550840764042087,4,0,4,16,NORMAL,normal_gaming.csv
0.2669947147369385,7741.726281123393,41.199317412848245,11,0,11,255,NORMAL,normal_gaming.csv
4.644177198410034,355.7142480621914,5.167761473058471,24,0,24,255,ATTACK,
0.3624830245971679,12461.273200365176,27.58749878318613,10,1,10,65535,NORMAL,normal_streaming.csv
4.656254291534424,17644.65487835838,6.65771198457983,31,0,31,16,NORMAL,normal_download.csv
0.3276288509368896,16985.68359925046,18.31340549784416,6,0,6,1263,NORMAL,normal_browsing.csv
0.1275343894958496,49955.15347025151,70.56920126075399,9,1,9,65535,NORMAL,normal_browsing.csv
4.612547874450684,11820.798717778807,4.552798273665816,21,0,21,16,NORMAL,normal_mixed.csv
4.971221923828125,29842.15999066895,10.862520488406783,54,0,54,16,NORMAL,normal_download.csv
4.964398622512817,3892.112916230694,53.38008088195497,265,0,265,1023,NORMAL,normal_download.csv
1.5580685138702393,4968.330937367684,10.269124789805314,16,0,16,254,NORMAL,normal_mixed.csv
0.4692397117614746,3882.8768203791,42.62213853325028,20,0,20,2047,NORMAL,normal_browsing.csv
0.3910284042358398,2621.292951858798,15.344153864539306,6,0,6,254,NORMAL,normal_browsing.csv
1.9957280158996584,281.6014985622452,2.0042811285569053,4,0,4,8738,NORMAL,normal_gaming.csv
4.701732635498047,54570.09572659836,20.63069245317156,97,0,97,16,NORMAL,normal_download.csv
0.1433427333831787,2895.158967637632,27.905146676025367,4,0,4,255,NORMAL,normal_browsing.csv
0.7927937507629395,8973.33006617912,31.53405280495896,25,1,24,255,NORMAL,normal_browsing.csv
2.1796724796295166,3313.341828873088,1.3763535705648384,3,0,3,16,NORMAL,normal_download.csv
0.0876979827880859,47663.58207007547,68.41662498096957,6,0,6,1053,NORMAL,normal_streaming.csv
1.2176001071929932,972.404645010706,6.570301655477743,8,0,8,250,NORMAL,normal_browsing.csv
0.463541030883789,938.4282534183164,8.629225318789116,4,0,4,255,NORMAL,normal_mixed.csv
0.0367293357849121,5799.179196904981,81.67858023809833,3,0,3,16,NORMAL,normal_gaming.csv
4.115226268768311,320.7600053532601,4.860000081110002,20,0,20,53248,ATTACK,
1.0444819927215576,5080.030136445344,24.89272211601564,26,1,25,65535,NORMAL,normal_mixed.csv
4.897545337677002,12939.134940210188,4.696230134524765,23,0,23,16,NORMAL,normal_download.csv
