Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Source_File
63.74190711975098,41.47977554284274,0.40789491834868047,26,2644,0.40789491834868047,0,26,253,14,syn_flood_basic.pcap
63.67450499534607,52.97253587203435,0.2041633460825516,13,3373,0.2041633460825516,0,13,6097,6,syn_flood_basic.pcap
57.259872913360596,3532668.685906242,58877.8114317707,3371336,202280160,58877.8114317707,3371336,0,512,3371336,syn_flood_basic.pcap
60.72617292404175,91.6902833143237,0.49402092302976125,30,5568,0.49402092302976125,0,30,252,24,syn_flood_basic.pcap
60.815083026885986,53.6708960597325,0.2959792062117601,18,3264,0.2959792062117601,0,18,385,9,syn_flood_basic.pcap
6.9141387939453125e-06,15909428.965517242,289262.3448275862,2,110,289262.3448275862,0,2,252,2,syn_flood_basic.pcap
1e-06,54000000.0,1000000.0,1,54,1000000.0,0,0,0,0,syn_flood_basic.pcap
30.342995166778564,40.470625699617564,0.3954784270320934,12,1228,0.3954784270320934,2,10,65535,2,syn_flood_basic.pcap
30.337359189987183,50.169165696608644,0.16481329072473275,5,1522,0.16481329072473275,1,5,64240,1,syn_flood_basic.pcap
30.618518114089966,140.43788742412178,0.9144792669477697,28,4300,0.9144792669477697,2,26,65535,10,syn_flood_basic.pcap
30.598674058914185,155.72570206230333,0.4902173202381007,15,4765,0.4902173202381007,1,15,65535,7,syn_flood_basic.pcap
