Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Source_File,Label
25.833987951278687,12.619035071736349,0.2322521792344113,6,326,0.2322521792344113,0,6,253,2,normal_browsing_heavy.pcap,0
25.80379295349121,9.843514108868025,0.155015970218394,4,254,0.155015970218394,0,4,280,2,normal_browsing_heavy.pcap,0
602.2457349300385,4.217547510394684,0.0614367157025997,37,2540,0.0614367157025997,0,37,74,25,normal_browsing_heavy.pcap,0
602.2362661361694,6.329741688352728,0.083023894128446,50,3812,0.083023894128446,0,50,250,44,normal_browsing_heavy.pcap,0
5084.127348899841,21.825574456550857,0.1829222472566985,930,110964,0.1829222472566985,0,930,250,634,normal_browsing_heavy.pcap,0
5084.127718925476,15.763569373300152,0.0983452870664064,500,80144,0.0983452870664064,0,498,6813,496,normal_browsing_heavy.pcap,0
156.97455310821533,62.23938725447267,0.2293365344074734,36,9770,0.2293365344074734,0,36,255,22,normal_browsing_heavy.pcap,0
156.97529888153076,26.462762164479287,0.1082972934030206,17,4154,0.1082972934030206,0,16,632,15,normal_browsing_heavy.pcap,0
0.4427168369293213,26947.24709985357,112.93900712428152,50,11930,112.93900712428152,2,48,65535,8,normal_browsing_heavy.pcap,0
0.526465892791748,19610.007298390785,41.78808219339377,22,10324,41.78808219339377,2,20,65535,8,normal_browsing_heavy.pcap,0
0.4232130050659179,103460.90379046852,87.42642489031505,37,43786,87.42642489031505,1,37,65535,32,normal_browsing_heavy.pcap,0
0.5058310031890869,13719.997303933003,25.70028313416845,13,6940,25.70028313416845,1,13,65535,7,normal_browsing_heavy.pcap,0
1114.2493579387665,2.661881722316412,0.0484631196915327,54,2966,0.0484631196915327,0,54,254,50,normal_browsing_heavy.pcap,0
1114.2294249534607,1.5993115601613472,0.0242319933357779,27,1782,0.0242319933357779,0,27,83,1,normal_browsing_heavy.pcap,0
0.1190841197967529,100819.48811051605,201.53820711747332,24,12006,201.53820711747332,2,22,65535,8,normal_browsing_heavy.pcap,0
0.1022391319274902,67263.873140837,127.15287928324572,13,6877,127.15287928324572,1,13,65535,7,normal_browsing_heavy.pcap,0
2.330596923828125,5227.845225156804,11.155940237530936,26,12184,11.155940237530936,2,24,65535,8,normal_browsing_heavy.pcap,0
0.1106870174407959,121568.0059967044,198.7586304940173,22,13456,198.7586304940173,2,20,65535,8,normal_browsing_heavy.pcap,0
0.1096830368041992,62160.93389327978,109.40616114980308,12,6818,109.40616114980308,1,12,65535,7,normal_browsing_heavy.pcap,0
0.125939130783081,92774.97730331846,206.44893956575487,26,11684,206.44893956575487,2,24,65535,8,normal_browsing_heavy.pcap,0
0.1076469421386718,64432.85672773663,130.05478578262873,14,6936,130.05478578262873,1,14,65535,8,normal_browsing_heavy.pcap,0
0.1402020454406738,96032.8357384576,171.18152538049486,24,13464,171.18152538049486,2,22,65535,8,normal_browsing_heavy.pcap,0
0.1205689907073974,57560.40553447379,116.11609185628718,14,6940,116.11609185628718,1,14,65535,9,normal_browsing_heavy.pcap,0
2.004467010498047,3430.8372070894206,6.485514569167147,13,6877,6.485514569167147,1,13,65535,7,normal_browsing_heavy.pcap,0
0.1722300052642822,86268.35943714224,139.3485412903092,24,14858,139.3485412903092,2,22,65535,8,normal_browsing_heavy.pcap,0
0.1551871299743652,51015.82844729314,103.10133322681448,16,7917,103.10133322681448,1,16,65535,10,normal_browsing_heavy.pcap,0
0.1963629722595214,61427.05959888588,998.1515239082764,196,12062,998.1515239082764,2,194,65535,8,normal_browsing_heavy.pcap,0
0.3497231006622314,64388.082907191965,497.5364786327117,174,22518,497.5364786327117,2,172,65535,8,normal_browsing_heavy.pcap,0
0.1791579723358154,1231382.545380022,881.9032607929012,158,220612,881.9032607929012,1,158,65535,153,normal_browsing_heavy.pcap,0
0.331521987915039,604089.6450323048,443.409503316783,147,200269,443.409503316783,1,147,65535,142,normal_browsing_heavy.pcap,0
0.134394884109497,62115.4596420392,163.69670725022308,22,8348,163.69670725022308,2,20,65535,8,normal_browsing_heavy.pcap,0
0.1154961585998535,62504.2433230256,112.55785610186076,13,7219,112.55785610186076,1,13,65535,8,normal_browsing_heavy.pcap,0
323.7202160358429,58.550560209379626,0.2594833310956995,84,18954,0.2594833310956995,2,82,65535,24,normal_browsing_heavy.pcap,0
1.34312105178833,30377.7533273524,25.314173994019303,34,40801,25.314173994019303,1,34,65535,30,normal_browsing_heavy.pcap,0
0.2673590183258056,58430.79503292803,628.3685549565938,168,15622,628.3685549565938,2,166,65535,8,normal_browsing_heavy.pcap,0
0.248769998550415,890312.3418844048,639.1445951139382,159,221483,639.1445951139382,1,159,65535,154,normal_browsing_heavy.pcap,0
0.1644811630249023,98029.46248354796,389.1023070545193,64,16124,389.1023070545193,2,62,65535,8,normal_browsing_heavy.pcap,0
0.1463298797607422,359386.61390268384,300.69046781110285,44,52589,300.69046781110285,1,44,65535,38,normal_browsing_heavy.pcap,0
0.153566837310791,76331.58437896868,143.2600969405657,22,11722,143.2600969405657,2,20,65535,8,normal_browsing_heavy.pcap,0
0.136592149734497,58436.74043870842,102.49490931369554,14,7982,102.49490931369554,1,14,65535,9,normal_browsing_heavy.pcap,0
14.611917972564695,114.97463941108649,1.3687457072748392,20,1680,1.3687457072748392,2,18,65535,4,normal_browsing_heavy.pcap,0
14.608273029327393,383.20751458858433,0.6160892517501356,9,5598,0.6160892517501356,1,7,65535,4,normal_browsing_heavy.pcap,0
0.152724027633667,91432.89511389055,157.14619612814192,24,13964,157.14619612814192,2,22,65535,8,normal_browsing_heavy.pcap,0
0.1353111267089843,52612.081305855485,118.24600377773392,16,7119,118.24600377773392,1,16,65535,10,normal_browsing_heavy.pcap,0
0.6321749687194824,25252.502534759125,44.29153539045699,28,15964,44.29153539045699,2,26,65535,10,normal_browsing_heavy.pcap,0
0.6101500988006592,11687.288118148374,27.86199663560824,17,7131,27.86199663560824,1,17,65535,12,normal_browsing_heavy.pcap,0
0.1212739944458007,143839.576487241,214.39056344119845,26,17444,214.39056344119845,2,24,65535,8,normal_browsing_heavy.pcap,0
0.1046290397644043,66291.34717873696,133.8060640862626,14,6936,133.8060640862626,1,14,65535,8,normal_browsing_heavy.pcap,0
0.4038529396057129,38211.92935989638,64.37987061672537,26,15432,64.37987061672537,2,24,65535,8,normal_browsing_heavy.pcap,0
0.3857450485229492,17991.157700076394,36.293401700442296,14,6940,36.293401700442296,1,14,65535,10,normal_browsing_heavy.pcap,0
0.1278879642486572,133241.6236360484,172.02557042212823,22,17040,172.02557042212823,2,20,65535,8,normal_browsing_heavy.pcap,0
0.1105740070343017,62709.13197392735,126.6120345594149,14,6934,126.6120345594149,1,14,65535,7,normal_browsing_heavy.pcap,0
0.1510250568389892,122933.24292401076,158.91402726361406,24,18566,158.91402726361406,2,22,65535,8,normal_browsing_heavy.pcap,0
0.1349260807037353,58246.707819642674,111.1719833687034,15,7859,111.1719833687034,1,15,65535,10,normal_browsing_heavy.pcap,0
0.2154841423034668,59633.15844329425,120.65853070238524,26,12850,120.65853070238524,2,24,65535,8,normal_browsing_heavy.pcap,0
0.2004551887512207,36003.059062526016,64.8523995860937,13,7217,64.8523995860937,1,13,65535,8,normal_browsing_heavy.pcap,0
24.668447971343998,792.0238850330691,10.62085463602539,262,19538,10.62085463602539,2,260,65535,8,normal_browsing_heavy.pcap,0
24.651313066482544,8954.614279761669,6.409394889995804,158,220743,6.409394889995804,1,158,65535,153,normal_browsing_heavy.pcap,0
610.1275098323822,30.311696656787007,0.3835263878927306,234,18494,0.3835263878927306,2,232,65535,36,normal_browsing_heavy.pcap,0
610.127158164978,414.0858124720371,0.3245225152663355,198,252645,0.3245225152663355,1,198,65535,181,normal_browsing_heavy.pcap,0
4931.0836679935455,98.11352485058528,1.7432273672001404,8596,483806,1.7432273672001404,2,8594,65535,276,normal_browsing_heavy.pcap,0
4930.815180063248,507.98679498830273,1.027821935101407,5068,2504789,1.027821935101407,1,5068,26883,5041,normal_browsing_heavy.pcap,0
0.5018727779388428,2191.7905261122646,27.89551578688337,14,1100,27.89551578688337,2,12,65535,4,normal_browsing_heavy.pcap,0
1.1418240070343018,963.3708813471766,12.26108394441861,14,1100,12.26108394441861,2,12,65535,4,normal_browsing_heavy.pcap,0
0.97619891166687,442.5327613430293,6.146288351986518,6,432,6.146288351986518,1,6,62727,2,normal_browsing_heavy.pcap,0
0.5014019012451172,753.8862518497103,9.972040368382412,5,378,9.972040368382412,1,5,62727,2,normal_browsing_heavy.pcap,0
610.2288439273834,13.886593667814884,0.0917688512388049,56,8474,0.0917688512388049,2,54,65535,38,normal_browsing_heavy.pcap,0
610.2290170192719,17.668776310680567,0.0573555157553162,35,10782,0.0573555157553162,1,35,65535,17,normal_browsing_heavy.pcap,0
67.3122968673706,313.1968597289008,0.77251858011113,52,21082,0.77251858011113,2,50,65535,28,normal_browsing_heavy.pcap,0
67.31196308135986,125.47546696552786,0.4011174056440033,27,8446,0.4011174056440033,1,27,26883,22,normal_browsing_heavy.pcap,0
12.183132886886597,864.6380284777446,6.2381327287173525,76,10534,6.2381327287173525,2,74,65535,6,normal_browsing_heavy.pcap,0
12.183419942855837,6069.067663005281,5.253040632283925,64,73942,5.253040632283925,1,64,65535,59,normal_browsing_heavy.pcap,0
0.2442669868469238,64216.6188828048,98.25314632075197,24,15686,98.25314632075197,2,22,65535,8,normal_browsing_heavy.pcap,0
0.2262670993804931,36509.94785639698,70.71288774995179,16,8261,70.71288774995179,1,16,65535,11,normal_browsing_heavy.pcap,0
0.2182819843292236,47837.20485264997,760.4841989599591,166,10442,760.4841989599591,2,164,65535,8,normal_browsing_heavy.pcap,0
0.2002809047698974,1101642.7165310185,793.8849696264102,159,220638,793.8849696264102,1,159,65535,154,normal_browsing_heavy.pcap,0
3.906726121902466,2757.295920901243,6.655188817622754,26,10772,6.655188817622754,2,24,65535,10,normal_browsing_heavy.pcap,0
3.888866901397705,1819.2960004512267,3.8571646652676175,15,7075,3.8571646652676175,1,15,65535,10,normal_browsing_heavy.pcap,0
0.2815899848937988,50797.26115044443,184.66565854468053,52,14304,184.66565854468053,2,50,65535,8,normal_browsing_heavy.pcap,0
0.2646338939666748,185546.9050619169,154.93102332977463,41,49102,154.93102332977463,1,41,65535,35,normal_browsing_heavy.pcap,0
0.2624518871307373,62358.0961025724,685.8399913517677,180,16366,685.8399913517677,2,178,65535,8,normal_browsing_heavy.pcap,0
0.2449431419372558,903968.9711203212,649.1302379093721,159,221421,649.1302379093721,1,159,65535,154,normal_browsing_heavy.pcap,0
28.683841943740845,39.95280695827676,0.4880796661569587,14,1146,0.4880796661569587,2,12,65535,2,normal_browsing_heavy.pcap,0
28.665914058685303,191.16780957276504,0.244192457483459,7,5480,0.244192457483459,1,7,65535,4,normal_browsing_heavy.pcap,0
240.1292760372162,26.55236423155593,0.149919245974908,36,6376,0.149919245974908,2,34,65535,20,normal_browsing_heavy.pcap,0
240.0749771595001,31.84838374438407,0.0833073077279206,20,7646,0.0833073077279206,1,20,65535,10,normal_browsing_heavy.pcap,0
7.500956058502197,1608.8615778946128,3.1995921336982684,24,12068,3.1995921336982684,2,22,65535,8,normal_browsing_heavy.pcap,0
7.487221956253052,911.018805086091,1.6027306349557384,12,6821,1.6027306349557384,1,12,65535,8,normal_browsing_heavy.pcap,0
6.566734075546265,19018.586494171504,306.0882284673291,2010,124890,306.0882284673291,2,2008,65535,16,normal_browsing_heavy.pcap,0
6.548892021179199,409947.5134599318,283.71211404787323,1858,2684702,283.71211404787323,1,1858,65535,1855,normal_browsing_heavy.pcap,0
5.93344783782959,1266.0429829864036,4.044865760339947,24,7512,4.044865760339947,2,22,65535,10,normal_browsing_heavy.pcap,0
5.917074918746948,743.9486672803877,2.704038772486643,16,4402,2.704038772486643,1,16,65535,12,normal_browsing_heavy.pcap,0
0.1070668697357177,127527.77804846004,205.4790623309009,22,13654,205.4790623309009,2,20,65535,8,normal_browsing_heavy.pcap,0
0.109623908996582,62203.58371103707,109.46517151084394,12,6819,109.46517151084394,1,12,65535,7,normal_browsing_heavy.pcap,0
0.3857719898223877,30116.235254272902,57.02850538767464,22,11618,57.02850538767464,2,20,65535,8,normal_browsing_heavy.pcap,0
0.3663921356201172,18769.50767068377,35.48111090866498,13,6877,35.48111090866498,1,13,65535,7,normal_browsing_heavy.pcap,0
0.1085798740386962,123835.10405628248,184.196198209553,20,13446,184.196198209553,2,18,65535,8,normal_browsing_heavy.pcap,0
0.10797119140625,62618.55511588468,101.87902769926512,11,6761,101.87902769926512,1,11,65535,7,normal_browsing_heavy.pcap,0
0.1437659263610839,103807.62937190504,153.02652413440842,22,14924,153.02652413440842,2,20,65535,8,normal_browsing_heavy.pcap,0
0.1265280246734619,62594.82846143845,126.45419891199688,16,7920,126.45419891199688,1,16,65535,11,normal_browsing_heavy.pcap,0
0.1368918418884277,91736.65739873136,160.71081882243115,22,12558,160.71081882243115,2,20,65535,8,normal_browsing_heavy.pcap,0
0.1194849014282226,60384.19845317626,108.80035757329055,13,7215,108.80035757329055,1,13,65535,7,normal_browsing_heavy.pcap,0
14.19727611541748,129.32058129137903,1.5495930220099885,22,1836,1.5495930220099885,2,20,65535,4,normal_browsing_heavy.pcap,0
14.19719409942627,398.3885801933614,0.7043645335809078,10,5656,0.7043645335809078,1,8,65535,4,normal_browsing_heavy.pcap,0
0.2233240604400634,91051.5416920664,832.8704020224429,186,20334,832.8704020224429,2,184,65535,8,normal_browsing_heavy.pcap,0
0.2059121131896972,1075959.041787374,777.0305375507435,160,221553,777.0305375507435,1,160,65535,155,normal_browsing_heavy.pcap,0
0.1354339122772216,112453.37112336744,162.44085126159447,22,15230,162.44085126159447,2,20,65535,8,normal_browsing_heavy.pcap,0
