Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Source_File
0.045832157135009766,28189.81433045143,305.4623843856966,14,1292,305.4623843856966,2,12,65535,6,normal_udp.pcap
0.002969026565551758,286962.7405444471,4715.3501967397415,14,852,4715.3501967397415,2,14,64240,12,normal_udp.pcap
0.40813493728637695,4557.316294377635,24.501700507406643,10,1860,24.501700507406643,0,10,252,8,normal_udp.pcap
0.3656749725341797,3120.2572932260236,19.142682780527753,7,1141,19.142682780527753,0,7,1860,3,normal_udp.pcap
0.24158287048339844,7699.221373925264,41.39366330067346,10,1860,41.39366330067346,0,10,255,8,normal_udp.pcap
0.2787609100341797,4096.700645223091,25.111124795588125,7,1142,25.111124795588125,0,7,1860,3,normal_udp.pcap
0.0023298263549804688,588026.6557511257,6009.031518624642,14,1370,6009.031518624642,0,14,255,8,normal_udp.pcap
0.0018889904022216797,722078.840843115,6352.599772813328,12,1364,6352.599772813328,0,12,501,12,normal_udp.pcap
0.05753207206726074,22457.03924046961,243.34253046948493,14,1292,243.34253046948493,2,12,65535,6,normal_udp.pcap
0.003165006637573242,269193.7482485876,4423.371450094162,14,852,4423.371450094162,2,14,64240,12,normal_udp.pcap
0.3439040184020996,5408.48579973628,29.07788064374344,10,1860,29.07788064374344,0,10,252,8,normal_udp.pcap
0.019950151443481445,54535.92686162267,300.7495966633603,6,1088,300.7495966633603,0,6,1860,3,normal_udp.pcap
1e-06,54000000.0,1000000.0,1,54,1000000.0,0,1,1860,0,normal_udp.pcap
0.24239802360534668,891.0963744146452,16.501784711382317,4,216,16.501784711382317,0,4,1021,0,normal_udp.pcap
1e-06,54000000.0,1000000.0,1,54,1000000.0,0,1,16386,0,normal_udp.pcap
0.22894787788391113,9539.289117619186,69.88490196058012,16,2184,69.88490196058012,0,16,255,8,normal_udp.pcap
0.012798070907592773,85012.81231021442,468.820656122506,6,1088,468.820656122506,0,6,1860,3,normal_udp.pcap
0.0022459030151367188,612671.157537155,6233.572823779194,14,1376,6233.572823779194,0,14,255,8,normal_udp.pcap
0.0016109943389892578,844199.1179517538,7448.815746633121,12,1360,7448.815746633121,0,12,501,12,normal_udp.pcap
0.00011086463928222656,14197493.539784946,54120.051612903226,6,1574,54120.051612903226,0,6,252,6,normal_udp.pcap
1e-06,93000000.0,1000000.0,1,93,1000000.0,0,1,1860,1,normal_udp.pcap
