Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Source_File
0.036353111267089844,4162504.796033474,69375.07993389123,2522,151320,69375.07993389123,2522,0,512,2522,syn_flood_randip.pcap
1.9999358654022217,2726727.4387837686,45445.45731306281,90888,5453280,45445.45731306281,90888,0,512,90888,syn_flood_randip.pcap
1.999917984008789,2606446.8851624127,43440.78141937355,86878,5212680,43440.78141937355,86878,0,512,86878,syn_flood_randip.pcap
1.999941110610962,2762901.352786319,46048.35587977198,92094,5525640,46048.35587977198,92094,0,512,92094,syn_flood_randip.pcap
0.23101806640625,8034.003698811096,43.28665785997358,10,1856,43.28665785997358,0,10,252,8,syn_flood_randip.pcap
0.2725670337677002,4189.7950174461985,25.681755798706995,7,1142,25.681755798706995,0,7,425,3,syn_flood_randip.pcap
1.9999020099639893,2584386.6220690813,43073.110367818015,86142,5168520,43073.110367818015,86142,0,512,86142,syn_flood_randip.pcap
0.21449995040893555,1006.9932398035742,18.64802295932545,4,216,18.64802295932545,0,4,1021,0,syn_flood_randip.pcap
1e-06,54000000.0,1000000.0,1,54,1000000.0,0,1,16386,0,syn_flood_randip.pcap
1.9999868869781494,3960775.9688709127,66012.93281451521,132025,7921500,66012.93281451521,132025,0,512,132025,syn_flood_randip.pcap
1.9999799728393555,4744697.511409636,79078.29185682726,158155,9489300,79078.29185682726,158155,0,512,158155,syn_flood_randip.pcap
1.9999840259552002,4693987.490983236,78233.1248497206,156465,9387900,78233.1248497206,156465,0,512,156465,syn_flood_randip.pcap
1.999979019165039,4822760.592772027,80379.34321286711,160757,9645420,80379.34321286711,160757,0,512,160757,syn_flood_randip.pcap
3.814697265625e-06,59244544.0,524288.0,2,226,524288.0,0,2,251,2,syn_flood_randip.pcap
1e-06,54000000.0,1000000.0,1,54,1000000.0,0,1,6097,0,syn_flood_randip.pcap
1.999974012374878,4876083.358913198,81268.05598188663,162534,9752040,81268.05598188663,162534,0,512,162534,syn_flood_randip.pcap
1.999979019165039,4578348.028782193,76305.80047970322,152610,9156600,76305.80047970322,152610,0,512,152610,syn_flood_randip.pcap
1.9999430179595947,4421345.968657316,73689.09947762193,147374,8842440,73689.09947762193,147374,0,512,147374,syn_flood_randip.pcap
1.9999351501464844,2742928.9392699576,45715.48232116596,91428,5485680,45715.48232116596,91428,0,512,91428,syn_flood_randip.pcap
1.999959945678711,2788855.8528641798,46480.93088106966,92960,5577600,46480.93088106966,92960,0,512,92960,syn_flood_randip.pcap
