Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Source_File
909.7838752269745,1.6905113861424474,0.030776540189849495,28,1538,0.030776540189849495,0,28,250,26,normal_download_heavy.pcap
909.8203439712524,1.727813639710908,0.026378834194059664,24,1572,0.026378834194059664,0,24,83,1,normal_download_heavy.pcap
520.7994549274445,18.01845203794873,0.2092936138252783,109,9384,0.2092936138252783,0,109,591,107,normal_download_heavy.pcap
520.5182149410248,15.9648591758533,0.2939378404218478,153,8310,0.2939378404218478,0,153,253,0,normal_download_heavy.pcap
177.13437700271606,26.149638925983158,0.03951802082942187,7,4632,0.03951802082942187,0,6,160,4,normal_download_heavy.pcap
176.8957929611206,6.105289345334346,0.0904487310419903,16,1080,0.0904487310419903,0,16,255,12,normal_download_heavy.pcap
857.2094159126282,3.2139170999036315,0.0466630431927932,40,2755,0.0466630431927932,0,40,251,38,normal_download_heavy.pcap
856.9743831157684,3.7013941869152642,0.054844113110030714,47,3172,0.054844113110030714,0,47,76,31,normal_download_heavy.pcap
29.654701948165894,10.993197657822446,0.20232879124826586,6,326,0.20232879124826586,0,6,251,2,normal_download_heavy.pcap
29.795348167419434,8.457696100210587,0.1342491444477871,4,252,0.1342491444477871,0,4,553,1,normal_download_heavy.pcap
30.13345217704773,14.402598064438575,0.26548567860716266,8,434,0.26548567860716266,0,8,2043,2,normal_download_heavy.pcap
30.342828035354614,10.084755436884702,0.16478358557001146,5,306,0.16478358557001146,0,5,600,1,normal_download_heavy.pcap
0.028781890869140625,7504.718886679921,138.97627567925778,4,216,138.97627567925778,0,4,255,0,normal_download_heavy.pcap
0.00042700767517089844,309127.932998325,4683.756560580681,2,132,4683.756560580681,0,2,579,1,normal_download_heavy.pcap
429.71419501304626,2.1712105646676947,0.03956117856307696,17,933,0.03956117856307696,0,17,2042,15,normal_download_heavy.pcap
429.7148480415344,2.087430779011154,0.030252619985668902,13,897,0.030252619985668902,0,13,285,2,normal_download_heavy.pcap
0.2088608741760254,1402.8477145655495,19.15150463570716,4,293,19.15150463570716,0,4,282,2,normal_download_heavy.pcap
0.0005230903625488281,412930.5670009116,7646.862351868733,4,216,7646.862351868733,0,4,510,0,normal_download_heavy.pcap
300.4972040653229,38.02364829163664,0.2329472589195313,70,11426,0.2329472589195313,2,68,65535,22,normal_download_heavy.pcap
300.56529092788696,126.7345270719872,0.14306375785192296,43,38092,0.14306375785192296,1,42,26883,31,normal_download_heavy.pcap
120.59277582168579,31.569055227895337,0.10780081900778549,13,3807,0.10780081900778549,1,12,65535,7,normal_download_heavy.pcap
120.78204488754272,14.613099170852335,0.11591126821072673,14,1765,0.11591126821072673,1,14,64240,7,normal_download_heavy.pcap
1e-06,74000000.0,1000000.0,1,74,1000000.0,1,0,65535,0,normal_download_heavy.pcap
1.417598009109497,7130.3711877739,112.86697566717689,160,10108,112.86697566717689,1,159,65535,4,normal_download_heavy.pcap
1.3115899562835693,394480.75789331325,276.76332702986815,363,517397,276.76332702986815,1,363,65535,360,normal_download_heavy.pcap
30.626203060150146,18.284995985305617,0.1959106712711316,6,560,0.1959106712711316,1,5,65535,1,normal_download_heavy.pcap
30.561120986938477,20.254492636724763,0.1308852512873975,4,619,0.1308852512873975,1,4,64240,1,normal_download_heavy.pcap
91.52200508117676,51.135243331360655,0.4042743596710137,37,4680,0.4042743596710137,1,36,65535,14,normal_download_heavy.pcap
91.39854502677917,140.45081348109912,0.43764372822652986,40,12837,0.43764372822652986,1,40,64240,36,normal_download_heavy.pcap
30.54354500770569,50.452558784883294,0.39288170371096665,12,1541,0.39288170371096665,1,11,65535,3,normal_download_heavy.pcap
71.53455209732056,19.61289976473553,0.22366813701765395,16,1403,0.22366813701765395,1,15,65535,11,normal_download_heavy.pcap
30.511105060577393,215.69195828646465,0.3277495187455777,10,6581,0.3277495187455777,1,10,4380,7,normal_download_heavy.pcap
31.098446130752563,47.430022509755084,0.3537154221066481,11,1475,0.3537154221066481,1,10,65535,3,normal_download_heavy.pcap
1.315737009048462,132.2452730320601,2.2800909143458643,3,174,2.2800909143458643,1,3,4380,0,normal_download_heavy.pcap
31.392372846603394,46.985935316437626,0.3504035854107213,11,1475,0.3504035854107213,1,10,65535,3,normal_download_heavy.pcap
31.032616138458252,177.00731306351605,0.3544657643725972,11,5493,0.3544657643725972,1,11,4380,6,normal_download_heavy.pcap
31.286798000335693,173.93918035145717,0.3196236316638316,10,5442,0.3196236316638316,1,10,4380,6,normal_download_heavy.pcap
31.057838916778564,47.04126400793183,0.3541778946524642,11,1461,0.3541778946524642,1,10,65535,3,normal_download_heavy.pcap
518.1353290081024,81.8415530189351,0.5153093893657746,267,42405,0.5153093893657746,1,266,65535,167,normal_download_heavy.pcap
30.96407914161682,179.56290495741445,0.38754583803758513,12,5560,0.38754583803758513,1,12,4380,6,normal_download_heavy.pcap
518.0924928188324,163.1967287153222,0.5443043547411722,282,84551,0.5443043547411722,1,282,4380,278,normal_download_heavy.pcap
31.570267915725708,45.010704495547685,0.3167537262177881,10,1421,0.3167537262177881,1,9,65535,3,normal_download_heavy.pcap
31.70580506324768,42.67357341348045,0.2838596901118433,9,1353,0.2838596901118433,1,8,65535,3,normal_download_heavy.pcap
31.41564106941223,127.61159293684935,0.28648150073126566,9,4009,0.28648150073126566,1,9,4380,4,normal_download_heavy.pcap
31.265297889709473,43.33878425786498,0.2878590836315755,9,1355,0.2878590836315755,1,8,65535,3,normal_download_heavy.pcap
0.9955089092254639,1304.8602458120254,8.036090813315013,8,1299,8.036090813315013,1,7,65535,3,normal_download_heavy.pcap
31.50725293159485,127.20880518215084,0.2856485146305782,9,4008,0.2856485146305782,1,9,4380,4,normal_download_heavy.pcap
31.098389148712158,128.94558560008443,0.28940405745654857,9,4010,0.28940405745654857,1,9,4380,4,normal_download_heavy.pcap
0.5413520336151123,7207.8790836763055,12.930587797471588,7,3902,12.930587797471588,1,7,4380,4,normal_download_heavy.pcap
1.081284999847412,1253.138626903373,8.323429994192146,9,1355,8.323429994192146,1,8,65535,3,normal_download_heavy.pcap
71.7492949962616,20.641317800783487,0.2369361260049421,17,1481,0.2369361260049421,1,16,65535,11,normal_download_heavy.pcap
0.7638890743255615,6101.671246070906,9.163634139132448,7,4661,9.163634139132448,1,7,65535,5,normal_download_heavy.pcap
1.3494861125946045,1032.9858062190876,2.964091266051901,4,1394,2.964091266051901,1,4,4380,1,normal_download_heavy.pcap
30.787809133529663,22.054183753547136,0.22736271910873335,7,679,0.22736271910873335,1,6,65535,1,normal_download_heavy.pcap
30.781929969787598,28.490741186818816,0.3248659200321416,10,877,0.3248659200321416,1,9,65535,1,normal_download_heavy.pcap
30.78186297416687,24.23505038100089,0.2598933016729318,8,746,0.2598933016729318,1,7,65535,1,normal_download_heavy.pcap
30.761745929718018,103.57019420416249,0.22755535449753214,7,3186,0.22755535449753214,2,7,64240,2,normal_download_heavy.pcap
30.755620002746582,169.7575922557811,0.2926294446087014,9,5221,0.2926294446087014,2,9,64240,4,normal_download_heavy.pcap
30.755620002746582,111.23170333404083,0.26011506187440125,8,3421,0.26011506187440125,2,8,64240,3,normal_download_heavy.pcap
31.15540885925293,65.92755721098415,0.3851658649132472,12,2054,0.3851658649132472,1,11,65535,5,normal_download_heavy.pcap
31.030998945236206,156.2308712186738,0.51561343636526,16,4848,0.51561343636526,1,16,65535,12,normal_download_heavy.pcap
31.3823459148407,87.21463995799223,0.6054359368658577,19,2737,0.6054359368658577,1,18,65535,5,normal_download_heavy.pcap
31.322842121124268,355.4594425673518,0.6065860794664707,19,11134,0.6065860794664707,1,19,64240,15,normal_download_heavy.pcap
31.042834043502808,68.35716085155987,0.4187761974883498,13,2122,0.4187761974883498,1,12,65535,4,normal_download_heavy.pcap
30.83410906791687,66.58210864721116,0.3891793978404939,12,2053,0.3891793978404939,1,11,65535,4,normal_download_heavy.pcap
4.522207021713257,930.5190982622865,2.4324406085753685,11,4208,2.4324406085753685,1,10,65535,3,normal_download_heavy.pcap
4.530310869216919,1523.0742876575907,6.180591312233702,28,6900,6.180591312233702,1,27,65535,4,normal_download_heavy.pcap
30.98972988128662,259.5375961910796,0.4840313244891451,15,8043,0.4840313244891451,1,15,64240,11,normal_download_heavy.pcap
30.780730962753296,241.93707449674793,0.48731786188414383,15,7447,0.48731786188414383,1,15,64240,11,normal_download_heavy.pcap
4.4503490924835205,1733.347168883598,3.1458206331825735,14,7714,3.1458206331825735,1,14,64240,10,normal_download_heavy.pcap
4.455629110336304,8801.226275550596,8.52853751041496,38,39215,8.52853751041496,1,38,64240,34,normal_download_heavy.pcap
4.396640062332153,732.1499950788589,2.956803335205084,13,3219,2.956803335205084,1,12,65535,5,normal_download_heavy.pcap
4.27196192741394,1049.1666536722173,3.5112672478989873,15,4482,3.5112672478989873,1,15,65535,11,normal_download_heavy.pcap
121.65420007705688,19.201967531908938,0.0575401424329463,7,2336,0.0575401424329463,1,6,65535,3,normal_download_heavy.pcap
