Feature,Importance,Percentage
Flow Bytes/s,0.38870775962469367,38.87077596246937
Init_Win_bytes_forward,0.2361163830436769,23.61163830436769
Flow Packets/s,0.12570086151523804,12.570086151523805
Flow Duration,0.11669748005554333,11.669748005554332
SYN Flag Count,0.0636183150314371,6.361831503143709
ACK Flag Count,0.03598344267577908,3.5983442675779083
Total Fwd Packets,0.03317575805363182,3.317575805363182
